91cc94f | Nikolai Kudasov | 2024-04-01 | Fix dataize (applyRules and context passing), --chain is still broken
fd251c3 | Abdelrahman Abounegm | 2024-03-29 | Document the change to lambda package dataization
432ccb5 | Abdelrahman Abounegm | 2024-03-29 | Use first normalization chain instead of requiring exactly one
f823ffe | Abdelrahman Abounegm | 2024-03-29 | Prevent dataizing objects with empty bindings
9da48e9 | Danila Danko | 2024-03-27 | fix(metrics):
e28fee9 | Danila Danko | 2024-03-27 | fix(metrics): treat NaN as infinity
47acd72 | Danila Danko | 2024-03-27 | feat(report): add doctest
0b50380 | Danila Danko | 2024-03-27 | feat(metrics): derive more instances for percent
2557e9b | Abdelrahman Abounegm | 2024-03-27 | Support chain dataization of Package
9202aea | Abdelrahman Abounegm | 2024-03-27 | Add back lambda package in bindings
64fab18 | Danila Danko | 2024-03-27 | feat(site > contributing): document how we generate, format, and update docs
045c712 | Abdelrahman Abounegm | 2024-03-27 | Add draft for proper lambda package handling
46b20c5 | Abdelrahman Abounegm | 2024-03-27 | Support partial dataization result in tests
83666c5 | Danila Danko | 2024-03-26 | fix(doctests): exclude unused generated module
3bc4445 | Danila Danko | 2024-03-26 | fix(normalizer): doctests
ad69755 | Danila Danko | 2024-03-26 | fix(package): in the hie file, make items for tests
9601e20 | Danila Danko | 2024-03-26 | fix(package): run alex and happy in custom-setup
db1d4ed | Danila Danko | 2024-03-26 | feat(package): add doctests module
d9e7988 | Danila Danko | 2024-03-26 | feat(package): add string-interpolate to custom-setup
5cba100 | Danila Danko | 2024-03-26 | feat(package): add doctests
ead9550 | Danila Danko | 2024-03-26 | fix(package): set file-embed lower bound
dc27701 | Danila Danko | 2024-03-26 | refactor(package): dependencies format
8630a1a | Danila Danko | 2024-03-26 | feat(site): show icon with github link
70718cd | Danila Danko | 2024-03-26 | feat(site): add links to
b839027 | Danila Danko | 2024-03-26 | fix(normalizer package): copyright
9b849d2 | Danila Danko | 2024-03-26 | feat(ci): install normalizer
d1fcfa9 | Danila Danko | 2024-03-26 | feat(ci): commit and push changes produced by mdsh
140461c | Danila Danko | 2024-03-26 | refactor(site): move celsius example
a5224a9 | Danila Danko | 2024-03-26 | fix(site): stack resolver
f05f9f3 | Danila Danko | 2024-03-26 | feat(node package): add .prettierignore
0b4bf8a | Danila Danko | 2024-03-26 | feat(node package): add prettier
8af58cc | Danila Danko | 2024-03-26 | feat(ci): run mdsh
f9afe27 | Danila Danko | 2024-03-26 | refactor(ci): split step
402982a | Danila Danko | 2024-03-26 | fix(ci): set cache prefix
6fb7577 | Danila Danko | 2024-03-26 | fix(ci): set cache
74f2736 | Danila Danko | 2024-03-26 | feat(scripts): add script to run mdsh
dbd7e7b | Danila Danko | 2024-03-26 | feat(flake): write mdsh script
7bb7710 | Abdelrahman Abounegm | 2024-03-26 | Use correct MathJax markdown syntax
781c60d | Danila Danko | 2024-03-26 | refactor(report):
57f00ff | Danila Danko | 2024-03-26 | feat(report config): add expected improved programs percentage
b08c40c | Danila Danko | 2024-03-26 | refactor(cli): report config fields initialization
fa1a936 | Danila Danko | 2024-03-26 | feat(report, cli): allow to configure expected improved programs percentage
091817d | Danila Danko | 2024-03-26 | refactor(report): move Percent instances
8b88abd | Danila Danko | 2024-03-26 | fix(report): metrics change type
3019259 | Nikolai Kudasov | 2024-03-26 | Bump version, update changelog
a77c329 | Danila Danko | 2024-03-25 | feat(site): provide a link to docs about math expressions syntax
24e2f9d | Danila Danko | 2024-03-25 | feat(site): enable mathjax
fa4e5ce | Danila Danko | 2024-03-25 | fix(ci): extend and format job summary
deccf61 | Danila Danko | 2024-03-25 | fix(report): remove the details tag from markdown reports
baf7ed2 | Danila Danko | 2024-03-25 | fix(ci): write runner os in artifact names
4054880 | Danila Danko | 2024-03-25 | fix(report): text
6c00ebc | Danila Danko | 2024-03-25 | feat(ci):
